session_id,user_id,session_start_ts,session_end_ts,platform,app_version,is_new_user_session,channel_attribution,city_of_session,session_had_search,session_had_booking,user_segment,is_problem_period,is_campaign_period
SES_0000001,USR_00001,2024-06-30 19:51:00,2024-06-30 20:03:12,android_app,8.3.2,True,returning_direct,DEL,True,False,returning_organic,False,False
SES_0000002,USR_00001,2024-08-06 20:01:00,2024-08-06 20:08:03,android_app,8.4.2,False,returning_direct,DEL,False,False,returning_organic,True,True
SES_0000003,USR_00001,2024-08-25 22:43:00,2024-08-25 22:46:08,android_app,8.4.2,False,returning_direct,DEL,True,False,returning_organic,True,True
SES_0000004,USR_00001,2024-05-30 11:43:00,2024-05-30 11:52:50,android_app,8.3.0,False,returning_direct,DEL,True,False,returning_organic,False,False
SES_0000005,USR_00001,2024-05-21 14:49:00,2024-05-21 14:50:00,android_app,8.3.0,False,returning_direct,DEL,False,False,returning_organic,False,False
SES_0000006,USR_00002,2024-08-26 14:35:00,2024-08-26 14:43:50,android_app,8.4.2,True,email_push,CCU,True,False,returning_organic,True,True
SES_0000007,USR_00002,2024-07-24 11:01:00,2024-07-24 11:06:17,android_app,8.4.1,False,email_push,CCU,True,False,returning_organic,True,True
SES_0000008,USR_00002,2024-06-10 12:42:00,2024-06-10 12:45:42,android_app,8.2.1,False,email_push,CCU,True,False,returning_organic,False,False
SES_0000009,USR_00002,2024-07-09 13:12:00,2024-07-09 13:20:24,android_app,8.4.1,False,email_push,CCU,True,False,returning_organic,True,False
SES_0000010,USR_00002,2024-08-21 19:15:00,2024-08-21 19:18:01,mobile_web,,False,email_push,CCU,True,False,returning_organic,True,True
SES_0000011,USR_00002,2024-07-31 18:16:00,2024-07-31 18:27:27,android_app,8.4.0,False,email_push,CCU,False,False,returning_organic,True,True
SES_0000012,USR_00002,2024-08-16 15:56:00,2024-08-16 15:57:06,android_app,8.4.2,False,email_push,CCU,True,False,returning_organic,True,True
SES_0000013,USR_00003,2024-08-23 14:28:00,2024-08-23 14:32:47,mobile_web,,True,paid_search,BLR,True,False,new_organic,True,True
SES_0000014,USR_00003,2024-07-02 21:48:00,2024-07-02 21:55:34,android_app,8.3.2,False,paid_search,BLR,True,False,new_organic,True,False
SES_0000015,USR_00003,2024-07-03 21:56:00,2024-07-03 22:11:44,android_app,8.4.0,False,paid_search,BLR,True,False,new_organic,True,False
SES_0000016,USR_00004,2024-05-22 12:37:00,2024-05-22 12:38:02,desktop_web,,True,returning_direct,,False,False,returning_organic,False,False
SES_0000017,USR_00004,2024-08-28 17:27:00,2024-08-28 17:31:05,mobile_web,,False,returning_direct,,False,False,returning_organic,True,True
SES_0000018,USR_00004,2024-07-09 09:21:00,2024-07-09 09:23:53,mobile_web,,False,returning_direct,,False,False,returning_organic,True,False
SES_0000019,USR_00004,2024-05-18 18:50:00,2024-05-18 18:51:44,mobile_web,,False,returning_direct,,True,False,returning_organic,False,False
SES_0000020,USR_00005,2024-08-30 13:44:00,2024-08-30 13:54:17,ios_app,9.1.1,True,organic_search,JAI,False,False,returning_organic,True,True
SES_0000021,USR_00005,2024-08-21 11:56:00,2024-08-21 12:00:44,mobile_web,,False,organic_search,JAI,False,False,returning_organic,True,True
SES_0000022,USR_00005,2024-07-19 12:11:00,2024-07-19 12:45:45,ios_app,9.2.0,False,organic_search,JAI,True,False,returning_organic,True,True
SES_0000023,USR_00005,2024-05-25 15:38:00,2024-05-25 15:52:25,ios_app,9.2.0,False,organic_search,JAI,False,False,returning_organic,False,False
SES_0000024,USR_00006,2024-08-02 11:32:00,2024-08-02 12:02:45,android_app,8.4.0,True,organic_search,SXR,True,False,returning_organic,True,True
SES_0000025,USR_00006,2024-08-15 14:21:00,2024-08-15 14:55:14,android_app,8.4.1,False,organic_search,SXR,True,False,returning_organic,True,True
SES_0000026,USR_00006,2024-06-25 13:53:00,2024-06-25 14:05:25,android_app,8.4.0,False,organic_search,SXR,False,False,returning_organic,False,False
SES_0000027,USR_00007,2024-07-06 12:42:00,2024-07-06 12:56:19,mobile_web,,True,organic_search,CCU,True,False,returning_organic,True,False
SES_0000028,USR_00007,2024-07-26 10:55:00,2024-07-26 11:01:52,android_app,8.4.1,False,organic_search,CCU,True,False,returning_organic,True,True
SES_0000029,USR_00007,2024-05-30 21:53:00,2024-05-30 22:42:44,android_app,8.3.2,False,organic_search,CCU,False,False,returning_organic,False,False
SES_0000030,USR_00007,2024-05-20 08:17:00,2024-05-20 08:19:37,android_app,8.2.1,False,organic_search,CCU,True,False,returning_organic,False,False
SES_0000031,USR_00007,2024-06-29 13:05:00,2024-06-29 13:38:04,android_app,8.4.0,False,organic_search,CCU,False,False,returning_organic,False,False
SES_0000032,USR_00007,2024-07-13 10:17:00,2024-07-13 10:25:57,android_app,8.4.0,False,organic_search,CCU,True,False,returning_organic,True,True
SES_0000033,USR_00007,2024-06-05 12:57:00,2024-06-05 13:06:43,android_app,8.3.2,False,organic_search,CCU,True,False,returning_organic,False,False
SES_0000034,USR_00007,2024-04-30 16:45:00,2024-04-30 16:53:30,android_app,8.3.2,False,organic_search,CCU,True,False,returning_organic,False,False
SES_0000035,USR_00008,2024-07-22 21:40:00,2024-07-22 21:41:21,android_app,8.4.1,True,paid_social,,True,False,new_organic,True,True
SES_0000036,USR_00008,2024-08-01 16:39:00,2024-08-01 16:49:08,android_app,8.4.1,False,paid_social,,True,False,new_organic,True,True
SES_0000037,USR_00009,2024-07-28 10:13:00,2024-07-28 10:23:27,android_app,8.4.1,True,returning_direct,CCU,True,False,returning_organic,True,True
SES_0000038,USR_00009,2024-08-14 17:34:00,2024-08-14 17:37:10,android_app,8.4.2,False,returning_direct,CCU,True,False,returning_organic,True,True
SES_0000039,USR_00009,2024-07-11 13:09:00,2024-07-11 13:10:00,android_app,8.4.0,False,returning_direct,CCU,False,False,returning_organic,True,False
SES_0000040,USR_00009,2024-07-09 18:06:00,2024-07-09 18:07:00,android_app,8.4.1,False,returning_direct,CCU,True,False,returning_organic,True,False
SES_0000041,USR_00009,2024-07-23 16:21:00,2024-07-23 17:02:05,android_app,8.4.0,False,returning_direct,CCU,True,False,returning_organic,True,True
SES_0000042,USR_00009,2024-08-29 11:20:00,2024-08-29 11:22:36,android_app,8.4.2,False,returning_direct,CCU,False,False,returning_organic,True,True
SES_0000043,USR_00010,2024-08-30 11:27:00,2024-08-30 12:03:57,android_app,8.4.2,True,paid_search,VTZ,True,False,returning_organic,True,True
SES_0000044,USR_00010,2024-04-22 09:45:00,2024-04-22 09:49:56,mobile_web,,False,paid_search,VTZ,True,False,returning_organic,False,False
SES_0000045,USR_00010,2024-07-24 11:09:00,2024-07-24 11:24:23,android_app,8.4.1,False,paid_search,VTZ,True,False,returning_organic,True,True
SES_0000046,USR_00010,2024-05-25 16:37:00,2024-05-25 16:38:00,android_app,8.3.2,False,paid_search,VTZ,True,False,returning_organic,False,False
SES_0000047,USR_00010,2024-08-07 13:07:00,2024-08-07 13:08:00,android_app,8.4.2,False,paid_search,VTZ,True,False,returning_organic,True,True
SES_0000048,USR_00010,2024-08-06 13:19:00,2024-08-06 13:27:15,android_app,8.4.2,False,paid_search,VTZ,True,False,returning_organic,True,True
SES_0000049,USR_00010,2024-05-23 11:54:00,2024-05-23 12:01:51,android_app,8.3.2,False,paid_search,VTZ,True,False,returning_organic,False,False
SES_0000050,USR_00011,2024-08-19 21:11:00,2024-08-19 21:18:03,android_app,8.4.2,True,organic_search,,False,False,returning_organic,True,True
SES_0000051,USR_00011,2024-07-25 12:19:00,2024-07-25 12:36:04,android_app,8.4.1,False,organic_search,,True,False,returning_organic,True,True
SES_0000052,USR_00011,2024-08-17 12:13:00,2024-08-17 12:23:23,android_app,8.4.2,False,organic_search,,False,False,returning_organic,True,True
SES_0000053,USR_00012,2024-08-27 15:14:00,2024-08-27 15:17:41,ios_app,9.1.1,True,email_push,BHO,True,False,returning_organic,True,True
SES_0000054,USR_00012,2024-08-17 11:34:00,2024-08-17 11:49:49,ios_app,9.2.0,False,email_push,BHO,True,False,returning_organic,True,True
SES_0000055,USR_00012,2024-08-20 12:52:00,2024-08-20 13:05:39,ios_app,9.1.1,False,email_push,BHO,True,False,returning_organic,True,True
SES_0000056,USR_00013,2024-08-04 12:42:00,2024-08-04 12:44:22,ios_app,9.1.0,True,paid_social,MAA,False,False,new_organic,True,True
SES_0000057,USR_00013,2024-04-16 15:35:00,2024-04-16 15:41:56,ios_app,9.1.1,False,paid_social,MAA,True,False,new_organic,False,False
SES_0000058,USR_00014,2024-06-12 16:39:00,2024-06-12 16:40:00,android_app,8.3.2,True,organic_search,DEL,False,False,new_organic,False,False
SES_0000059,USR_00015,2024-07-25 12:45:00,2024-07-25 13:38:18,android_app,8.4.0,True,organic_search,IXC,True,False,new_organic,True,True
SES_0000060,USR_00015,2024-06-09 13:45:00,2024-06-09 13:57:40,android_app,8.3.2,False,organic_search,IXC,False,False,new_organic,False,False
SES_0000061,USR_00015,2024-08-08 11:15:00,2024-08-08 11:19:23,android_app,8.4.2,False,organic_search,IXC,True,False,new_organic,True,True
SES_0000062,USR_00016,2024-04-23 11:46:00,2024-04-23 11:48:32,ios_app,9.1.0,True,organic_search,HYD,True,False,new_organic,False,False
SES_0000063,USR_00016,2024-07-27 10:32:00,2024-07-27 10:39:13,mobile_web,,False,organic_search,HYD,True,False,new_organic,True,True
SES_0000064,USR_00016,2024-07-31 10:05:00,2024-07-31 10:08:46,mobile_web,,False,organic_search,HYD,True,False,new_organic,True,True
SES_0000065,USR_00017,2024-07-09 18:14:00,2024-07-09 18:17:35,ios_app,9.1.1,True,organic_search,LKO,False,False,returning_organic,True,False
SES_0000066,USR_00017,2024-08-08 10:50:00,2024-08-08 11:03:10,ios_app,9.1.1,False,organic_search,LKO,True,False,returning_organic,True,True
SES_0000067,USR_00017,2024-08-22 11:05:00,2024-08-22 11:08:27,ios_app,9.1.1,False,organic_search,LKO,False,False,returning_organic,True,True
SES_0000068,USR_00017,2024-06-28 19:18:00,2024-06-28 19:37:25,ios_app,9.1.0,False,organic_search,LKO,True,False,returning_organic,False,False
SES_0000069,USR_00018,2024-07-19 08:24:00,2024-07-19 08:25:42,android_app,8.4.1,True,returning_direct,HYD,True,False,corporate,True,True
SES_0000070,USR_00018,2024-05-10 08:10:00,2024-05-10 08:23:09,android_app,8.3.0,False,returning_direct,HYD,False,False,corporate,False,False
