booking_id,user_id,listing_id,week,cohort,revenue_usd,is_international,is_package
1,58,3303,1,HVT,545.78,True,False
2,102,4992,1,HVT,667.53,False,False
3,136,2755,1,HVT,592.04,False,False
4,228,545,1,HVT,761.99,True,False
5,270,4771,1,HVT,595.16,False,False
6,312,3932,1,HVT,609.95,True,False
7,386,4470,1,HVT,619.05,False,False
8,475,987,1,HVT,514.41,False,False
9,520,3225,1,HVT,690.89,False,False
10,582,71,1,HVT,492.23,True,False
11,663,698,1,HVT,467.25,False,False
12,803,2425,1,HVT,764.38,False,False
13,831,1064,1,HVT,699.64,False,False
14,865,4694,1,HVT,543.56,False,True
15,894,3127,1,HVT,475.31,True,False
16,1060,2924,1,HVT,605.93,False,False
17,1327,2609,1,HVT,630.17,False,False
18,1343,1540,1,HVT,518.83,False,False
19,1554,1034,1,Mission,240.41,False,False
20,1573,1675,1,Mission,295.39,False,False
21,1642,732,1,Mission,289.66,False,False
22,1864,1869,1,Mission,301.97,False,False
23,1872,3993,1,Mission,253.78,False,False
24,1915,4635,1,Mission,306.31,False,False
25,2056,4352,1,Mission,263.66,False,False
26,2126,1334,1,Mission,334.67,False,False
27,2193,2804,1,Mission,235.99,True,False
28,2265,759,1,Mission,215.27,False,False
29,2378,2461,1,Mission,306.31,False,False
30,2476,429,1,Mission,312.56,False,False
31,2519,2833,1,Mission,226.21,False,False
32,2834,2905,1,Mission,281.47,True,False
33,2929,2944,1,Mission,281.8,False,False
34,2990,1282,1,Mission,327.81,False,False
35,3144,1531,1,Mission,226.49,False,False
36,3215,4137,1,Mission,283.9,False,False
37,3228,1211,1,Mission,282.12,False,False
38,3438,3482,1,Mission,270.6,False,False
39,3576,1716,1,Mission,344.83,False,True
40,3678,1355,1,Mission,238.87,False,False
41,3954,2087,1,Mission,338.08,True,True
42,4006,3595,1,DealSeeker,121.33,False,False
43,4144,7084,1,DealSeeker,94.59,False,False
44,4474,6012,1,DealSeeker,102.14,False,False
45,4749,1584,1,DealSeeker,107.84,False,False
46,4787,1255,1,DealSeeker,137.19,False,False
47,5344,7279,1,DealSeeker,118.85,False,False
48,5373,6511,1,DealSeeker,121.55,False,False
49,5800,1994,1,DealSeeker,133.56,False,False
50,5854,5870,1,DealSeeker,113.64,False,False
51,6057,5344,1,DealSeeker,110.01,False,False
