order_id,user_id,restaurant_id,order_date,order_status,cuisine_type,delivery_area,city,gmv,user_type
ORD0000001,USR01668,RST101,2024-10-14,cancelled,Biryani,north_bangalore,Bangalore,307,returning
ORD0000002,USR00770,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,228,returning
ORD0000003,USR04392,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,227,returning
ORD0000004,USR03685,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,351,returning
ORD0000005,USR04520,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,243,returning
ORD0000006,USR04642,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,281,returning
ORD0000007,USR01442,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,208,returning
ORD0000008,USR04141,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,208,returning
ORD0000009,USR00093,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,267,returning
ORD0000010,USR00971,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,345,returning
ORD0000011,USR02360,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,285,returning
ORD0000012,USR03314,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,293,returning
ORD0000013,USR04021,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,279,returning
ORD0000014,USR04245,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,349,new
ORD0000015,USR03137,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,291,resurrected
ORD0000016,USR00022,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,220,returning
ORD0000017,USR00401,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,314,returning
ORD0000018,USR02626,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,253,returning
ORD0000019,USR01806,RST101,2024-10-14,cancelled,Biryani,north_bangalore,Bangalore,376,returning
ORD0000020,USR04969,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,196,new
ORD0000021,USR02227,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,237,returning
ORD0000022,USR04374,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,394,new
ORD0000023,USR02480,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,302,returning
ORD0000024,USR00903,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,240,returning
ORD0000025,USR02445,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,321,returning
ORD0000026,USR00972,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,364,returning
ORD0000027,USR01666,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,249,returning
ORD0000028,USR03299,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,371,new
ORD0000029,USR00423,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,406,returning
ORD0000030,USR01828,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,242,returning
ORD0000031,USR04257,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,399,resurrected
ORD0000032,USR03380,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,340,resurrected
ORD0000033,USR03371,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,185,returning
ORD0000034,USR04381,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,287,new
ORD0000035,USR00008,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,227,returning
ORD0000036,USR01975,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,288,returning
ORD0000037,USR01761,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,340,returning
ORD0000038,USR03819,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,271,returning
ORD0000039,USR03024,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,407,returning
ORD0000040,USR00312,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,271,new
ORD0000041,USR01575,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,306,returning
ORD0000042,USR03585,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,199,returning
ORD0000043,USR00925,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,401,returning
ORD0000044,USR02999,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,369,returning
ORD0000045,USR04333,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,320,resurrected
ORD0000046,USR00915,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,234,returning
ORD0000047,USR00639,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,182,returning
ORD0000048,USR02601,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,251,returning
ORD0000049,USR02895,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,203,new
ORD0000050,USR01555,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,203,returning
ORD0000051,USR04999,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,371,returning
ORD0000052,USR04806,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,301,returning
ORD0000053,USR03451,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,373,returning
ORD0000054,USR00045,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,305,resurrected
ORD0000055,USR01430,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,407,new
ORD0000056,USR00589,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,238,returning
ORD0000057,USR01796,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,358,returning
ORD0000058,USR02294,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,322,new
ORD0000059,USR00187,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,340,returning
ORD0000060,USR04252,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,224,returning
ORD0000061,USR01533,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,367,returning
ORD0000062,USR01388,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,255,returning
ORD0000063,USR04217,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,338,returning
ORD0000064,USR00788,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,365,returning
ORD0000065,USR03974,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,374,new
ORD0000066,USR04366,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,356,returning
ORD0000067,USR01070,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,181,returning
ORD0000068,USR00235,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,355,returning
ORD0000069,USR02667,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,375,returning
ORD0000070,USR00486,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,207,returning
ORD0000071,USR04443,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,248,new
ORD0000072,USR04534,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,353,returning
ORD0000073,USR03752,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,414,new
ORD0000074,USR02128,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,220,new
ORD0000075,USR03774,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,325,returning
ORD0000076,USR02891,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,336,returning
ORD0000077,USR02861,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,246,returning
ORD0000078,USR04658,RST101,2024-10-14,cancelled,Biryani,north_bangalore,Bangalore,393,new
ORD0000079,USR02581,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,377,returning
ORD0000080,USR00603,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,209,new
ORD0000081,USR00849,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,238,resurrected
ORD0000082,USR03402,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,208,resurrected
ORD0000083,USR02502,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,328,resurrected
ORD0000084,USR00912,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,226,returning
ORD0000085,USR01521,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,241,new
ORD0000086,USR03260,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,319,new
ORD0000087,USR01577,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,201,returning
ORD0000088,USR03424,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,246,returning
ORD0000089,USR00921,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,191,new
ORD0000090,USR01368,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,382,returning
ORD0000091,USR04028,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,217,returning
ORD0000092,USR00475,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,342,returning
ORD0000093,USR04680,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,297,new
ORD0000094,USR01787,RST101,2024-10-14,cancelled,Biryani,north_bangalore,Bangalore,266,resurrected
ORD0000095,USR04832,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,186,returning
ORD0000096,USR04387,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,387,returning
ORD0000097,USR00560,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,373,returning
ORD0000098,USR04032,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,201,returning
ORD0000099,USR03081,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,205,resurrected
ORD0000100,USR03434,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,194,returning
ORD0000101,USR04731,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,186,resurrected
ORD0000102,USR02274,RST101,2024-10-14,completed,Biryani,north_bangalore,Bangalore,352,returning
